Activity Level,Weight Goal,Meal Type,Meal Description,Calories
High,Lose,Breakfast,Avocado Toast with Poached Eggs,350
High,Lose,Breakfast,Greek Yogurt with Berries and Granola,300
High,Lose,Breakfast,Spinach and Mushroom Omelette,400
High,Lose,Breakfast,Whole Grain Pancakes with Maple Syrup,450
High,Lose,Breakfast,Smoked Salmon Bagel with Cream Cheese,400
High,Lose,Breakfast,Chia Seed Pudding with Almond Milk,250
High,Lose,Breakfast,Quinoa Breakfast Bowl with Fruit,350
High,Lose,Breakfast,Green Smoothie with Protein Powder,300
High,Lose,Breakfast,Egg White Veggie Scramble,300
High,Lose,Breakfast,Banana Protein Pancakes,400
High,Lose,Lunch,Grilled Chicken Salad with Quinoa,400
High,Lose,Lunch,Turkey and Avocado Wrap,450
High,Lose,Lunch,Salmon and Vegetable Stir-Fry,400
High,Lose,Lunch,Black Bean and Corn Salad with Chicken,350
High,Lose,Lunch,Spinach and Feta Stuffed Chicken Breast,400
High,Lose,Lunch,Tuna Nicoise Salad,350
High,Lose,Lunch,Quinoa and Vegetable Buddha Bowl,400
High,Lose,Lunch,Veggie and Hummus Wrap,300
High,Lose,Lunch,Shrimp and Mango Salad,350
High,Lose,Lunch,Chicken Caesar Salad,400
High,Lose,Dinner,Baked Salmon with Steamed Vegetables,450
High,Lose,Dinner,Grilled Sirloin Steak with Roasted Potatoes,500
High,Lose,Dinner,Spaghetti Squash with Turkey Bolognese,400
High,Lose,Dinner,Lemon Herb Chicken with Brown Rice,450
High,Lose,Dinner,Vegetarian Chili with Quinoa,350
High,Lose,Dinner,Tofu Stir-Fry with Mixed Vegetables,400
High,Lose,Dinner,Mushroom and Spinach Stuffed Bell Peppers,350
High,Lose,Dinner,Grilled Vegetable and Goat Cheese Polenta,400
High,Lose,Dinner,Cauliflower Crust Pizza with Veggies,400
Moderate,Lose,Breakfast,Scrambled Egg Whites with Spinach and Tomatoes,300
Moderate,Lose,Breakfast,Whole Wheat Toast with Peanut Butter,250
